col,row,lon,lat,z,z_valid,dem_path
2018.59619140625,385.46124267578125,25.416888279136607,36.432926182687616,0.0,False,
2072.10302734375,404.365478515625,25.488320876070784,36.40776361992701,0.0,False,
2034.33349609375,413.8175964355469,25.43474642837015,36.39697718804707,0.0,False,
1977.67919921875,445.32464599609375,25.35884929412759,36.357414107610055,0.0,False,
2072.10302734375,445.32464599609375,25.483856338762397,36.36101155826178,0.0,False,
2034.33349609375,467.37957763671875,25.443675502986924,36.33222709499272,0.0,False,
1011.40869140625,1084.9176025390625,24.13110153432146,35.540132091565816,0.0,False,
737.57958984375,1088.0682373046875,23.782867540423133,35.54376695041923,0.0,False,
806.82373046875,1103.82177734375,23.872158286590853,35.52195518994306,0.0,False,
822.56103515625,1106.9725341796875,23.89448097313278,35.51831920629245,0.0,False,
857.18310546875,1106.9725341796875,23.930197355444097,35.51831920629245,0.0,False,
690.36767578125,1116.424560546875,23.72036401810573,35.507410676686895,0.0,False,
879.21533203125,1116.424560546875,23.95698457929441,35.51104701790113,0.0,False,
1049.17822265625,1160.534423828125,24.184675982022092,35.44920641727361,0.0,False,
1521.29736328125,1185.7401123046875,24.78292381365736,35.41644796416071,0.0,False,
1700.70263671875,1185.7401123046875,25.01954429100181,35.4200884199781,0.0,False,
1725.88232421875,1201.49365234375,25.04186697754374,35.398243081189776,0.0,False,
1382.80908203125,1207.7950439453125,24.60434248901037,35.39096003145051,0.0,False,
1112.12744140625,1229.8499755859375,24.260573116264652,35.361820982044335,0.0,False,
1990.26904296875,1245.603515625,25.381171980669524,35.33631578620625,0.0,False,
1732.17724609375,1248.754150390625,25.050796052160514,35.339959859117776,0.0,False,
1880.10791015625,1251.9049072265625,25.23830661911272,35.3326715489665,0.0,False,
2257.80322265625,1277.1104736328125,25.729405890723623,35.303511462397545,0.0,False,
2031.18603515625,1280.26123046875,25.43921096567854,35.29257382201435,0.0,False,
2072.10302734375,1280.26123046875,25.49278541337917,35.29986574652208,0.0,False,
2166.52685546875,1311.768310546875,25.608863383397207,35.25610407237862,0.0,False,
2248.36083984375,1340.1246337890625,25.711547741490083,35.219617905881215,0.0,False,
2286.13037109375,1412.5908203125,25.765122189190713,35.12833071458579,0.0,False,
2330.19482421875,1425.193603515625,25.818696636891342,35.11006097949325,0.0,False,
2408.88134765625,1485.0570068359375,25.921380994984222,35.03328339393321,0.0,False,
2424.61865234375,1485.0570068359375,25.94370368152615,35.03328339393321,0.0,False,
2393.14404296875,1488.207763671875,25.899058308442292,35.029625543203096,0.0,False,
2367.96435546875,1494.5091552734375,25.872271084591972,35.022309350645166,0.0,False,
2317.60498046875,1510.2626953125,25.8008384876578,35.00035670736668,0.0,False,
2585.13916015625,1510.2626953125,26.140143323095128,35.00035670736668,0.0,False,
