scene_id,xml_path,tif_path,remote_xml_uri,remote_tif_uri,min_lon,min_lat,max_lon,max_lat,center_lon,center_lat,imaging_time
LuoJia1-01_LR201806057936_20180603171237_HDR_0022,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171237_HDR_0022_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171237_HDR_0022_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171237_HDR_0022_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171237_HDR_0022_gec.tif,75.479586,26.772407,79.052572,29.741104,77.14154,28.164329,2018-6-3T17:12:24.23504
LuoJia1-01_LR201806057936_20180603171238_HDR_0023,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171238_HDR_0023_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171238_HDR_0023_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171238_HDR_0023_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171238_HDR_0023_gec.tif,75.465017,26.834423,79.039558,29.80197,77.128072,28.226098,2018-6-3T17:12:25.23675
LuoJia1-01_LR201806057936_20180603171239_HDR_0024,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171239_HDR_0024_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171239_HDR_0024_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171239_HDR_0024_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171239_HDR_0024_gec.tif,75.450505,26.896655,79.027349,29.86354,77.11452,28.288329,2018-6-3T17:12:26.23772
LuoJia1-01_LR201806057936_20180603171240_HDR_0025,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171240_HDR_0025_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171240_HDR_0025_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171240_HDR_0025_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171240_HDR_0025_gec.tif,75.435451,26.958939,79.015133,29.925592,77.101226,28.350516,2018-6-3T17:12:27.23869
LuoJia1-01_LR201806057936_20180603171241_HDR_0026,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171241_HDR_0026_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171241_HDR_0026_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171241_HDR_0026_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171241_HDR_0026_gec.tif,75.41936,27.020457,79.002205,29.987556,77.086382,28.412387,2018-6-3T17:12:28.23967
LuoJia1-01_LR201806057936_20180603171242_HDR_0027,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171242_HDR_0027_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171242_HDR_0027_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171242_HDR_0027_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171242_HDR_0027_gec.tif,75.403228,27.08198,78.987716,30.048681,77.070971,28.473743,2018-6-3T17:12:29.24064
LuoJia1-01_LR201806057936_20180603171243_HDR_0028,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171243_HDR_0028_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171243_HDR_0028_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171243_HDR_0028_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171243_HDR_0028_gec.tif,75.387826,27.143431,78.973315,30.111205,77.056154,28.535522,2018-6-3T17:12:30.24161
LuoJia1-01_LR201806057936_20180603171244_HDR_0029,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171244_HDR_0029_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171244_HDR_0029_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171244_HDR_0029_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171244_HDR_0029_gec.tif,75.372921,27.204055,78.95989,30.170848,77.042266,28.596295,2018-6-3T17:12:31.24258
LuoJia1-01_LR201806057936_20180603171245_HDR_0030,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171245_HDR_0030_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171245_HDR_0030_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171245_HDR_0030_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171245_HDR_0030_gec.tif,75.357721,27.265151,78.947219,30.231331,77.028429,28.657179,2018-6-3T17:12:32.24355
LuoJia1-01_LR201806057936_20180603171246_HDR_0031,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171246_HDR_0031_meta.xml,local\LUOJIA_EXTRACTED\LuoJia1-01_LR201806057936_20180603171246_HDR_0031_gec.tif,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171246_HDR_0031_meta.xml,hf://buckets/cbernegger/LULO1/LUOJIA_EXTRACTED/LuoJia1-01_LR201806057936_20180603171246_HDR_0031_gec.tif,75.342413,27.327083,78.934218,30.292147,77.013958,28.718527,2018-6-3T17:12:33.24453
